date,weekday,site_id,site_name,weather,temp_c,trade,task,worker_count,hours_per_worker,man_hours,materials_delivered,incidents,near_miss,qa_issues,equipment_downtime_hours,progress_pct_estimate,notes
2025-06-02,月,S-001,河川改修A工区,くもり,23,電気・設備,照明器具取付,5,8.5,42.5,True,0,0,0,0.2,2.6,安全KY実施。
2025-06-02,月,S-001,河川改修A工区,くもり,23,型枠・鉄筋,型枠解体,6,8.0,48.0,True,0,0,0,0.0,2.6,近隣対応あり。
2025-06-02,月,S-001,河川改修A工区,くもり,23,土工,法面整形,6,7.0,42.0,True,0,0,0,0.1,2.6,監督員立会検査。
2025-06-02,月,S-001,河川改修A工区,くもり,23,舗装,アスファルト敷均し,4,7.0,28.0,True,0,0,0,0.3,2.6,重機点検実施。
2025-06-02,月,S-002,道路拡幅B工区,晴れ,27,土工,埋戻し,5,7.5,37.5,False,0,1,0,0.1,7.8,写真整理実施。
2025-06-02,月,S-002,道路拡幅B工区,晴れ,27,舗装,切削オーバーレイ,5,8.5,42.5,False,0,0,0,0.0,7.8,特記事項なし。
2025-06-02,月,S-002,道路拡幅B工区,晴れ,27,電気・設備,盤設置,2,7.0,14.0,False,0,0,1,0.2,7.8,重機点検実施。
2025-06-02,月,S-003,橋梁補修C工区,晴れ,30,舗装,アスファルト敷均し,2,8.5,17.0,False,0,0,0,0.3,0.0,重機点検実施。
2025-06-02,月,S-003,橋梁補修C工区,晴れ,30,電気・設備,照明器具取付,2,8.0,16.0,False,0,0,0,0.3,0.0,監督員立会検査。
2025-06-02,月,S-003,橋梁補修C工区,晴れ,30,型枠・鉄筋,コンクリート打設,2,7.5,15.0,False,0,0,1,0.3,0.0,安全KY実施。
2025-06-02,月,S-003,橋梁補修C工区,晴れ,30,土工,転圧,5,7.0,35.0,False,0,0,1,0.2,0.0,材料搬入あり。
2025-06-03,火,S-001,河川改修A工区,雨,30,土工,埋戻し,5,7.5,37.5,False,0,0,0,0.1,6.8,重機点検実施。
2025-06-03,火,S-001,河川改修A工区,雨,30,電気・設備,試運転,2,7.0,14.0,False,0,0,0,0.4,6.8,材料搬入あり。
2025-06-03,火,S-001,河川改修A工区,雨,30,舗装,路盤整正,4,7.5,30.0,False,0,0,0,0.3,6.8,特記事項なし。
2025-06-03,火,S-003,橋梁補修C工区,晴れ,27,電気・設備,ケーブル敷設,2,7.5,15.0,True,0,0,0,0.4,0.0,材料搬入あり。
2025-06-03,火,S-003,橋梁補修C工区,晴れ,27,型枠・鉄筋,配筋,4,8.5,34.0,True,0,0,0,0.4,0.0,写真整理実施。
2025-06-04,水,S-001,河川改修A工区,晴れ,34,土工,転圧,5,8.0,40.0,True,0,0,0,0.2,7.6,特記事項なし。
2025-06-04,水,S-001,河川改修A工区,晴れ,34,型枠・鉄筋,型枠建込,7,7.5,52.5,True,0,0,0,0.0,7.6,特記事項なし。
2025-06-04,水,S-001,河川改修A工区,晴れ,34,電気・設備,盤設置,8,8.0,64.0,True,0,0,0,0.1,7.6,材料搬入あり。
2025-06-04,水,S-001,河川改修A工区,晴れ,34,舗装,切削オーバーレイ,6,8.5,51.0,True,0,1,0,0.2,7.6,近隣対応あり。
2025-06-05,木,S-001,河川改修A工区,晴れ,28,舗装,路盤整正,3,8.5,25.5,False,0,0,0,0.1,3.0,特記事項なし。
2025-06-05,木,S-001,河川改修A工区,晴れ,28,型枠・鉄筋,型枠解体,10,7.5,75.0,False,0,1,1,0.1,3.0,午前に小雨、午後から回復。
2025-06-05,木,S-002,道路拡幅B工区,くもり,31,土工,掘削,2,7.5,15.0,True,0,0,1,0.1,12.8,安全KY実施。
2025-06-05,木,S-002,道路拡幅B工区,くもり,31,型枠・鉄筋,コンクリート打設,4,7.0,28.0,True,0,0,0,0.0,12.8,監督員立会検査。
2025-06-05,木,S-002,道路拡幅B工区,くもり,31,舗装,アスファルト敷均し,7,8.0,56.0,True,0,0,1,0.0,12.8,特記事項なし。
2025-06-05,木,S-002,道路拡幅B工区,くもり,31,電気・設備,配管布設,4,7.0,28.0,True,0,0,0,0.4,12.8,写真整理実施。
2025-06-05,木,S-003,橋梁補修C工区,くもり,33,土工,法面整形,3,7.5,22.5,False,0,0,0,0.0,1.7,午前に小雨、午後から回復。
2025-06-05,木,S-003,橋梁補修C工区,くもり,33,舗装,区画線,6,7.0,42.0,False,0,0,0,0.1,1.7,重機点検実施。
2025-06-05,木,S-003,橋梁補修C工区,くもり,33,型枠・鉄筋,出来形確認,9,8.5,76.5,False,0,0,0,0.1,1.7,写真整理実施。
2025-06-06,金,S-001,河川改修A工区,くもり,33,電気・設備,照明器具取付,4,7.0,28.0,False,0,0,0,0.1,10.8,重機点検実施。
2025-06-06,金,S-001,河川改修A工区,くもり,33,土工,測量,2,7.5,15.0,False,0,0,0,0.0,10.8,写真整理実施。
2025-06-06,金,S-001,河川改修A工区,くもり,33,舗装,区画線,6,7.5,45.0,False,0,0,0,0.4,10.8,材料搬入あり。
2025-06-06,金,S-002,道路拡幅B工区,晴れ,27,電気・設備,試運転,9,7.0,63.0,True,0,0,0,0.0,18.9,材料搬入あり。
2025-06-06,金,S-002,道路拡幅B工区,晴れ,27,型枠・鉄筋,型枠建込,12,7.0,84.0,True,0,0,0,0.1,18.9,特記事項なし。
2025-06-06,金,S-003,橋梁補修C工区,くもり,30,型枠・鉄筋,コンクリート打設,5,7.0,35.0,False,0,0,0,0.2,6.4,重機点検実施。
2025-06-06,金,S-003,橋梁補修C工区,くもり,30,舗装,アスファルト敷均し,6,8.0,48.0,False,0,0,0,0.0,6.4,午前に小雨、午後から回復。
2025-06-07,土,S-001,河川改修A工区,晴れ,35,型枠・鉄筋,出来形確認,4,7.0,28.0,False,0,0,0,0.0,9.9,重機点検実施。
2025-06-07,土,S-001,河川改修A工区,晴れ,35,舗装,アスファルト敷均し,6,8.0,48.0,False,0,0,0,0.0,9.9,安全KY実施。
2025-06-07,土,S-001,河川改修A工区,晴れ,35,電気・設備,配管布設,4,7.0,28.0,False,0,0,0,0.0,9.9,材料搬入あり。
2025-06-07,土,S-001,河川改修A工区,晴れ,35,土工,法面整形,6,8.5,51.0,False,0,0,0,0.1,9.9,安全KY実施。
2025-06-07,土,S-002,道路拡幅B工区,晴れ,32,型枠・鉄筋,型枠建込,9,8.0,72.0,False,0,0,0,0.2,17.4,安全KY実施。
2025-06-07,土,S-002,道路拡幅B工区,晴れ,32,電気・設備,試運転,4,8.0,32.0,False,0,0,0,0.0,17.4,材料搬入あり。
2025-06-07,土,S-003,橋梁補修C工区,雨,26,土工,法面整形,6,8.0,48.0,False,0,0,0,0.6,6.4,安全KY実施。
2025-06-07,土,S-003,橋梁補修C工区,雨,26,舗装,区画線,8,8.5,68.0,False,0,0,0,0.0,6.4,特記事項なし。
2025-06-09,月,S-001,河川改修A工区,晴れ,24,土工,測量,6,8.0,48.0,False,0,0,0,0.3,13.2,特記事項なし。
2025-06-09,月,S-001,河川改修A工区,晴れ,24,舗装,アスファルト敷均し,5,8.0,40.0,False,0,0,0,0.0,13.2,写真整理実施。
2025-06-09,月,S-002,道路拡幅B工区,雨,24,土工,埋戻し,4,7.0,28.0,False,0,1,0,0.1,17.6,特記事項なし。
2025-06-09,月,S-002,道路拡幅B工区,雨,24,舗装,区画線,7,7.0,49.0,False,0,0,1,0.5,17.6,安全KY実施。
2025-06-09,月,S-002,道路拡幅B工区,雨,24,型枠・鉄筋,配筋,7,7.5,52.5,False,0,0,0,0.3,17.6,近隣対応あり。
2025-06-09,月,S-003,橋梁補修C工区,雨,29,型枠・鉄筋,出来形確認,6,7.0,42.0,False,0,1,0,0.2,5.0,安全KY実施。
2025-06-09,月,S-003,橋梁補修C工区,雨,29,土工,埋戻し,5,7.5,37.5,False,0,0,0,0.4,5.0,重機点検実施。
